"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","12.6128","12.4630","12.6259","12.4581","","1.18%"
"11/20/2025","12.4663","12.4427","12.4775","12.4329","","0.18%"
"11/19/2025","12.4433","12.4591","12.4641","12.4339","","-0.12%"
"11/18/2025","12.4584","12.4668","12.4752","12.4504","","-0.10%"
"11/17/2025","12.4704","12.4880","12.4920","12.4599","","-0.17%"
"11/14/2025","12.4922","12.5111","12.5210","12.4847","","-0.20%"
"11/13/2025","12.5168","12.4551","12.5187","12.4548","","0.50%"
"11/12/2025","12.4551","12.4347","12.4592","12.4336","","0.20%"
"11/11/2025","12.4298","12.4595","12.4599","12.4237","","-0.24%"
"11/10/2025","12.4595","12.4520","12.4648","12.4462","","0.09%"
"11/07/2025","12.4484","12.4531","12.4586","12.4408","","-0.05%"
"11/06/2025","12.4552","12.4366","12.4570","12.4169","","0.23%"
"11/05/2025","12.4260","12.4397","12.4551","12.4243","","-0.16%"
"11/04/2025","12.4454","12.4593","12.4659","12.3989","","-0.11%"
"11/03/2025","12.4595","12.4680","12.4816","12.4525","","-0.10%"
"10/31/2025","12.4721","12.4659","12.4833","12.4557","","0.06%"
"10/30/2025","12.4651","12.4412","12.4842","12.4404","","0.09%"
"10/29/2025","12.4544","12.4283","12.4664","12.4130","","0.21%"
"10/28/2025","12.4287","12.4073","12.4505","12.3985","","0.17%"
"10/27/2025","12.4076","12.3547","12.4225","12.3433","","0.60%"
"10/24/2025","12.3338","12.3236","12.3398","12.3003","","0.08%"
"10/23/2025","12.3239","12.3085","12.3490","12.3085","","0.10%"
"10/22/2025","12.3119","12.3559","12.3559","12.2992","","-0.38%"
"10/21/2025","12.3584","12.3426","12.3744","12.3426","","0.13%"
"10/20/2025","12.3419","12.3508","12.3531","12.3174","","-0.05%"
"10/17/2025","12.3477","12.3440","12.3681","12.3137","","-0.03%"
"10/16/2025","12.3513","12.3135","12.3608","12.2974","","0.24%"
"10/15/2025","12.3213","12.4288","12.4601","12.3212","","-0.92%"
"10/14/2025","12.4362","12.4344","12.4431","12.4210","","0.03%"
"10/13/2025","12.4320","12.4477","12.4543","12.4173","","-0.06%"
"10/10/2025","12.4392","12.4595","12.4671","12.4218","","-0.22%"
"10/09/2025","12.4663","12.4696","12.4733","12.4332","","-0.01%"
"10/08/2025","12.4671","12.4670","12.4761","12.4621","","0.02%"
"10/07/2025","12.4642","12.4616","12.4706","12.4574","","0.02%"
"10/06/2025","12.4616","12.4675","12.4782","12.4580","","-0.02%"
"10/03/2025","12.4636","12.4655","12.4749","12.4536","","0.02%"
"10/02/2025","12.4614","12.4543","12.4843","12.4425","","0.04%"
"10/01/2025","12.4563","12.4707","12.4806","12.4463","","-0.18%"
"09/30/2025","12.4784","12.4642","12.4835","12.4449","","0.15%"
"09/29/2025","12.4594","12.4431","12.4731","12.4425","","0.23%"
"09/26/2025","12.4307","12.4423","12.4476","12.4233","","-0.09%"
"09/25/2025","12.4414","12.4412","12.4611","12.4313","","-0.05%"
"09/24/2025","12.4475","12.4844","12.4993","12.4407","","-0.31%"
"09/23/2025","12.4868","12.4116","12.4902","12.4048","","0.61%"
"09/22/2025","12.4113","12.3795","12.4188","12.3790","","0.24%"
"09/19/2025","12.3813","12.4018","12.4215","12.3769","","-0.16%"
"09/18/2025","12.4017","12.3406","12.4179","12.3364","","0.40%"
"09/17/2025","12.3522","12.3523","12.3677","12.3394","","-0.01%"
"09/16/2025","12.3530","12.3709","12.3891","12.3523","","-0.20%"
"09/15/2025","12.3783","12.3904","12.4005","12.3738","","-0.10%"
"09/12/2025","12.3901","12.4037","12.4173","12.3866","","-0.08%"
"09/11/2025","12.3994","12.3723","12.4236","12.3676","","0.28%"
"09/10/2025","12.3651","12.3879","12.3944","12.3602","","-0.22%"
"09/09/2025","12.3918","12.3397","12.3936","12.3397","","0.42%"
"09/08/2025","12.3397","12.3653","12.3680","12.3267","","-0.19%"
"09/05/2025","12.3634","12.3549","12.3847","12.3454","","0.12%"
"09/04/2025","12.3490","12.3327","12.3532","12.3200","","0.14%"
"09/03/2025","12.3315","12.3321","12.3426","12.3094","","0.05%"
"09/02/2025","12.3255","12.3267","12.3424","12.2950","","-0.03%"
"09/01/2025","12.3288","12.3646","12.3878","12.3200","","-0.29%"
"08/29/2025","12.3652","12.2837","12.3818","12.2778","","0.66%"
"08/28/2025","12.2837","12.2526","12.2957","12.2409","","0.25%"
"08/27/2025","12.2529","12.2572","12.2722","12.2449","","0.01%"
"08/26/2025","12.2516","12.2523","12.2743","12.2362","","0.01%"
"08/25/2025","12.2503","12.1844","12.2512","12.1794","","0.52%"
"08/22/2025","12.1874","12.1531","12.1954","12.1482","","0.25%"
"08/21/2025","12.1571","12.1267","12.1646","12.1159","","0.26%"
"08/20/2025","12.1259","12.1231","12.1346","12.1066","","0.03%"
"08/19/2025","12.1227","12.1500","12.1622","12.1047","","-0.24%"
"08/18/2025","12.1520","12.1893","12.1913","12.1499","","-0.27%"
"08/15/2025","12.1849","12.2130","12.2137","12.1740","","-0.23%"
"08/14/2025","12.2128","12.1909","12.2235","12.1838","","0.20%"
"08/13/2025","12.1880","12.2012","12.2207","12.1774","","-0.12%"
"08/12/2025","12.2028","12.1934","12.2098","12.1812","","0.07%"
"08/11/2025","12.1940","12.1852","12.2161","12.1781","","0.13%"
"08/08/2025","12.1779","12.1752","12.2174","12.1717","","0.01%"
"08/07/2025","12.1766","12.2123","12.2287","12.1671","","-0.30%"
"08/06/2025","12.2136","12.2195","12.2267","12.1883","","-0.10%"
"08/05/2025","12.2258","12.2152","12.2508","12.2078","","0.10%"
"08/04/2025","12.2139","12.1031","12.2262","12.1030","","0.96%"
"08/01/2025","12.0977","12.1528","12.1624","12.0872","","-0.47%"
"07/31/2025","12.1552","12.1926","12.2061","12.1542","","-0.28%"
"07/30/2025","12.1892","12.1396","12.2273","12.1311","","0.43%"
"07/29/2025","12.1368","12.0886","12.1375","12.0809","","0.48%"
"07/28/2025","12.0784","12.0672","12.0890","12.0523","","0.09%"
"07/25/2025","12.0675","12.0809","12.0910","12.0588","","-0.05%"
"07/24/2025","12.0736","12.0668","12.0813","12.0555","","0.08%"
"07/23/2025","12.0639","12.0319","12.0736","12.0258","","0.27%"
"07/22/2025","12.0310","12.0110","12.0477","12.0110","","0.17%"
"07/21/2025","12.0110","12.0024","12.0321","11.9995","","0.07%"
"07/18/2025","12.0021","11.9726","12.0140","11.9710","","0.22%"
"07/17/2025","11.9760","11.9614","11.9957","11.9534","","0.11%"
"07/16/2025","11.9625","11.9837","11.9867","11.9409","","-0.21%"
"07/15/2025","11.9881","12.0004","12.0021","11.9516","","-0.11%"
"07/14/2025","12.0014","11.9747","12.0058","11.9667","","0.24%"
"07/11/2025","11.9724","11.9494","11.9852","11.9406","","0.18%"
"07/10/2025","11.9513","11.9378","11.9536","11.9170","","0.15%"
"07/09/2025","11.9329","11.9542","11.9682","11.9269","","-0.18%"
"07/08/2025","11.9542","11.9557","11.9659","11.9383","","0.01%"
"07/07/2025","11.9531","11.9308","11.9934","11.9194","","0.18%"
"07/04/2025","11.9321","11.9233","11.9379","11.9080","","0.13%"
"07/03/2025","11.9167","11.9435","11.9627","11.8948","","-0.27%"
"07/02/2025","11.9491","11.9520","11.9678","11.9396","","-0.01%"
"07/01/2025","11.9506","11.9629","11.9757","11.9319","","-0.10%"
"06/30/2025","11.9629","11.9277","11.9818","11.9241","","0.41%"
"06/27/2025","11.9142","11.9483","11.9541","11.9139","","-0.29%"
"06/26/2025","11.9483","11.9860","12.0117","11.9431","","-0.34%"
"06/25/2025","11.9887","11.9828","12.0106","11.9648","","0.04%"
"06/24/2025","11.9838","12.0660","12.0680","11.9759","","-0.62%"
"06/23/2025","12.0585","12.0467","12.0895","12.0409","","0.00%"
"06/20/2025","12.0588","12.0978","12.0999","12.0485","","-0.18%"
"06/19/2025","12.0807","12.0199","12.0870","12.0174","","0.49%"
"06/18/2025","12.0219","12.0129","12.0461","12.0028","","0.07%"
"06/17/2025","12.0132","11.9561","12.0276","11.9524","","0.47%"
"06/16/2025","11.9566","11.9836","12.0063","11.9493","","-0.28%"
"06/13/2025","11.9902","11.9191","12.0115","11.9191","","0.50%"
"06/12/2025","11.9304","11.8821","11.9333","11.8754","","0.41%"
"06/11/2025","11.8817","11.9143","11.9151","11.8778","","-0.23%"
"06/10/2025","11.9088","11.9294","11.9322","11.8976","","-0.18%"
"06/09/2025","11.9299","11.9344","11.9421","11.8933","","-0.02%"
"06/06/2025","11.9320","11.9619","11.9746","11.9171","","-0.25%"
"06/05/2025","11.9614","11.9481","11.9691","11.9278","","0.08%"
"06/04/2025","11.9516","11.9215","11.9651","11.9181","","0.23%"
"06/03/2025","11.9238","11.8566","11.9241","11.8559","","0.58%"
"06/02/2025","11.8551","11.8760","11.8884","11.8465","","-0.20%"
"05/30/2025","11.8788","11.8800","11.9028","11.8608","","-0.07%"
"05/29/2025","11.8870","11.8480","11.8981","11.8458","","0.13%"
"05/28/2025","11.8715","11.8608","11.9127","11.8467","","0.11%"
"05/27/2025","11.8586","11.8376","11.8804","11.8284","","0.16%"
"05/26/2025","11.8393","11.8755","11.8863","11.8182","","-0.22%"
"05/23/2025","11.8653","11.9308","11.9479","11.8507","","-0.60%"
"05/22/2025","11.9366","11.8860","11.9490","11.8751","","0.44%"
"05/21/2025","11.8848","11.8481","11.8941","11.8414","","0.31%"
"05/20/2025","11.8485","11.8326","11.8650","11.8223","","0.11%"
"05/19/2025","11.8353","11.8542","11.8687","11.8313","","-0.20%"
"05/16/2025","11.8593","11.8554","11.9023","11.8381","","-0.08%"
"05/15/2025","11.8693","11.8421","11.8929","11.8270","","0.19%"
"05/14/2025","11.8464","11.8005","11.8632","11.7816","","0.11%"
"05/13/2025","11.8333","11.8002","11.8714","11.7689","","0.41%"
"05/12/2025","11.7848","11.8161","11.8227","11.7054","","-0.14%"
"05/09/2025","11.8017","11.8710","11.8716","11.7788","","-0.18%"
"05/08/2025","11.8228","11.7335","11.8577","11.6844","","0.83%"
"05/07/2025","11.7258","11.6774","11.7491","11.6637","","0.38%"
"05/06/2025","11.6814","11.6495","11.7226","11.6449","","0.77%"
"05/05/2025","11.5927","11.6197","11.6244","11.5679","","-0.27%"
"05/02/2025","11.6246","11.6425","11.6464","11.5199","","-0.08%"
"05/01/2025","11.6334","11.6360","11.6546","11.6281","","-0.01%"
"04/30/2025","11.6345","11.7230","11.7268","11.6278","","-0.68%"
"04/29/2025","11.7140","11.6743","11.7455","11.6743","","0.34%"
"04/28/2025","11.6746","11.7159","11.7174","11.6412","","-0.36%"
"04/25/2025","11.7163","11.7026","11.7563","11.6682","","0.08%"
"04/24/2025","11.7071","11.7353","11.7363","11.6901","","-0.05%"
"04/23/2025","11.7127","11.6544","11.7306","11.6527","","0.55%"
"04/22/2025","11.6489","11.6778","11.6790","11.6331","","-0.25%"
"04/21/2025","11.6777","11.6952","11.7145","11.6674","","-0.20%"
"04/18/2025","11.7010","11.6926","11.7205","11.6926","","0.06%"
"04/17/2025","11.6943","11.7162","11.7279","11.6898","","-0.16%"
"04/16/2025","11.7125","11.7161","11.7347","11.6703","","0.02%"
"04/15/2025","11.7107","11.7636","11.7690","11.7094","","-0.44%"
"04/14/2025","11.7621","11.7988","11.8095","11.7489","","-0.48%"
"04/11/2025","11.8188","11.7908","11.8237","11.7400","","0.31%"
