"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","4.2285","4.2344","4.2435","4.2202","","-0.14%"
"11/20/2025","4.2344","4.2370","4.2426","4.2259","","-0.07%"
"11/19/2025","4.2373","4.2537","4.2600","4.2305","","-0.39%"
"11/18/2025","4.2537","4.2578","4.2636","4.2500","","-0.09%"
"11/17/2025","4.2576","4.2680","4.2697","4.2541","","-0.25%"
"11/14/2025","4.2684","4.2751","4.2807","4.2627","","-0.11%"
"11/13/2025","4.2729","4.2582","4.2814","4.2525","","0.34%"
"11/12/2025","4.2584","4.2540","4.2601","4.2471","","0.10%"
"11/11/2025","4.2540","4.2452","4.2631","4.2407","","0.21%"
"11/10/2025","4.2452","4.2478","4.2548","4.2383","","-0.08%"
"11/07/2025","4.2484","4.2413","4.2576","4.2341","","0.16%"
"11/06/2025","4.2415","4.2211","4.2433","4.2200","","0.48%"
"11/05/2025","4.2213","4.2176","4.2231","4.2124","","0.09%"
"11/04/2025","4.2176","4.2311","4.2364","4.2141","","-0.33%"
"11/03/2025","4.2314","4.2365","4.2393","4.2257","","-0.13%"
"10/31/2025","4.2370","4.2479","4.2525","4.2316","","-0.26%"
"10/30/2025","4.2479","4.2609","4.2740","4.2412","","-0.31%"
"10/29/2025","4.2611","4.2796","4.2852","4.2524","","-0.43%"
"10/28/2025","4.2796","4.2770","4.2863","4.2700","","0.06%"
"10/27/2025","4.2772","4.2697","4.2799","4.2667","","0.16%"
"10/24/2025","4.2703","4.2673","4.2787","4.2602","","0.07%"
"10/23/2025","4.2675","4.2643","4.2683","4.2552","","0.08%"
"10/22/2025","4.2641","4.2605","4.2692","4.2523","","0.08%"
"10/21/2025","4.2605","4.2764","4.2807","4.2598","","-0.36%"
"10/20/2025","4.2760","4.2832","4.2883","4.2747","","-0.07%"
"10/17/2025","4.2791","4.2929","4.3076","4.2787","","-0.32%"
"10/16/2025","4.2928","4.2777","4.2957","4.2757","","0.35%"
"10/15/2025","4.2777","4.2631","4.2785","4.2604","","0.34%"
"10/14/2025","4.2631","4.2498","4.2669","4.2392","","0.32%"
"10/13/2025","4.2494","4.2676","4.2719","4.2449","","-0.43%"
"10/10/2025","4.2676","4.2472","4.2722","4.2441","","0.48%"
"10/09/2025","4.2472","4.2696","4.2783","4.2390","","-0.55%"
"10/08/2025","4.2708","4.2800","4.2832","4.2599","","-0.24%"
"10/07/2025","4.2812","4.3020","4.3037","4.2782","","-0.46%"
"10/06/2025","4.3011","4.3127","4.3127","4.2793","","-0.28%"
"10/03/2025","4.3131","4.3031","4.3188","4.3023","","0.23%"
"10/02/2025","4.3034","4.3081","4.3194","4.2909","","-0.12%"
"10/01/2025","4.3085","4.3098","4.3259","4.3025","","-0.03%"
"09/30/2025","4.3100","4.3073","4.3205","4.3012","","0.06%"
"09/29/2025","4.3073","4.2978","4.3180","4.2970","","0.22%"
"09/26/2025","4.2977","4.2851","4.2997","4.2815","","0.29%"
"09/25/2025","4.2851","4.3116","4.3174","4.2774","","-0.61%"
"09/24/2025","4.3116","4.3397","4.3410","4.3077","","-0.65%"
"09/23/2025","4.3399","4.3351","4.3414","4.3264","","0.10%"
"09/22/2025","4.3355","4.3141","4.3358","4.3063","","0.50%"
"09/19/2025","4.3141","4.3297","4.3317","4.3081","","-0.36%"
"09/18/2025","4.3297","4.3388","4.3520","4.3156","","-0.21%"
"09/17/2025","4.3390","4.3590","4.3781","4.3370","","-0.46%"
"09/16/2025","4.3590","4.3210","4.3633","4.3179","","0.91%"
"09/15/2025","4.3199","4.3099","4.3251","4.3033","","0.23%"
"09/12/2025","4.3099","4.3098","4.3148","4.2974","","0.00%"
"09/11/2025","4.3098","4.2956","4.3147","4.2837","","0.33%"
"09/10/2025","4.2956","4.3005","4.3092","4.2904","","-0.11%"
"09/09/2025","4.3004","4.3201","4.3263","4.2985","","-0.46%"
"09/08/2025","4.3204","4.3040","4.3211","4.2978","","0.37%"
"09/05/2025","4.3044","4.2785","4.3200","4.2775","","0.61%"
"09/04/2025","4.2785","4.2831","4.2860","4.2715","","-0.11%"
"09/03/2025","4.2834","4.2754","4.2914","4.2630","","0.18%"
"09/02/2025","4.2758","4.3015","4.3044","4.2651","","-0.60%"
"09/01/2025","4.3015","4.2919","4.3112","4.2915","","0.22%"
"08/29/2025","4.2921","4.2910","4.3009","4.2792","","0.03%"
"08/28/2025","4.2910","4.2747","4.2970","4.2711","","0.38%"
"08/27/2025","4.2747","4.2764","4.2784","4.2510","","-0.03%"
"08/26/2025","4.2760","4.2679","4.2850","4.2606","","0.20%"
"08/25/2025","4.2675","4.3031","4.3077","4.2614","","-0.83%"
"08/22/2025","4.3033","4.2627","4.3133","4.2536","","0.96%"
"08/21/2025","4.2625","4.2797","4.2842","4.2605","","-0.39%"
"08/20/2025","4.2791","4.2779","4.2879","4.2683","","0.02%"
"08/19/2025","4.2782","4.2832","4.2948","4.2744","","-0.11%"
"08/18/2025","4.2829","4.2952","4.3042","4.2813","","-0.32%"
"08/15/2025","4.2967","4.2786","4.3031","4.2770","","0.43%"
"08/14/2025","4.2782","4.2993","4.3032","4.2720","","-0.50%"
"08/13/2025","4.2995","4.2881","4.3086","4.2857","","0.28%"
"08/12/2025","4.2876","4.2664","4.2967","4.2599","","0.50%"
"08/11/2025","4.2664","4.2760","4.2882","4.2570","","-0.21%"
"08/08/2025","4.2754","4.2847","4.2896","4.2713","","-0.22%"
"08/07/2025","4.2847","4.2826","4.2974","4.2646","","0.05%"
"08/06/2025","4.2826","4.2509","4.2860","4.2470","","0.73%"
"08/05/2025","4.2517","4.2501","4.2561","4.2338","","0.04%"
"08/04/2025","4.2501","4.2551","4.2597","4.2418","","-0.12%"
"08/01/2025","4.2554","4.1928","4.2599","4.1838","","1.49%"
"07/31/2025","4.1930","4.1885","4.2096","4.1883","","0.09%"
"07/30/2025","4.1892","4.2413","4.2503","4.1874","","-1.22%"
"07/29/2025","4.2409","4.2569","4.2602","4.2304","","-0.37%"
"07/28/2025","4.2567","4.3147","4.3243","4.2553","","-1.30%"
"07/25/2025","4.3128","4.3153","4.3200","4.2985","","-0.06%"
"07/24/2025","4.3153","4.3239","4.3305","4.3085","","-0.20%"
"07/23/2025","4.3239","4.3175","4.3256","4.3011","","0.15%"
"07/22/2025","4.3175","4.2958","4.3199","4.2896","","0.51%"
"07/21/2025","4.2958","4.2706","4.3041","4.2655","","0.60%"
"07/18/2025","4.2703","4.2591","4.2874","4.2574","","0.26%"
"07/17/2025","4.2593","4.2758","4.2765","4.2447","","-0.33%"
