"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","1.6235","1.6251","1.6285","1.6209","","-0.10%"
"11/20/2025","1.6251","1.6211","1.6275","1.6182","","0.24%"
"11/19/2025","1.6212","1.6200","1.6237","1.6184","","0.07%"
"11/18/2025","1.6201","1.6294","1.6313","1.6174","","-0.56%"
"11/17/2025","1.6292","1.6292","1.6307","1.6250","","-0.03%"
"11/14/2025","1.6297","1.6328","1.6344","1.6276","","-0.19%"
"11/13/2025","1.6328","1.6237","1.6346","1.6217","","0.55%"
"11/12/2025","1.6238","1.6235","1.6247","1.6209","","0.00%"
"11/11/2025","1.6238","1.6204","1.6259","1.6197","","0.21%"
"11/10/2025","1.6204","1.6248","1.6266","1.6193","","-0.27%"
"11/07/2025","1.6248","1.6301","1.6318","1.6221","","-0.34%"
"11/06/2025","1.6303","1.6214","1.6317","1.6208","","0.55%"
"11/05/2025","1.6214","1.6195","1.6248","1.6187","","0.12%"
"11/04/2025","1.6195","1.6192","1.6220","1.6161","","0.01%"
"11/03/2025","1.6193","1.6163","1.6218","1.6145","","0.19%"
"10/31/2025","1.6162","1.6176","1.6221","1.6140","","-0.09%"
"10/30/2025","1.6176","1.6174","1.6222","1.6159","","0.01%"
"10/29/2025","1.6175","1.6250","1.6260","1.6145","","-0.46%"
"10/28/2025","1.6249","1.6291","1.6330","1.6236","","-0.26%"
"10/27/2025","1.6292","1.6271","1.6308","1.6238","","0.13%"
"10/24/2025","1.6271","1.6256","1.6333","1.6237","","0.09%"
"10/23/2025","1.6257","1.6248","1.6260","1.6214","","0.06%"
"10/22/2025","1.6248","1.6266","1.6276","1.6214","","-0.11%"
"10/21/2025","1.6266","1.6340","1.6358","1.6257","","-0.47%"
"10/20/2025","1.6343","1.6338","1.6378","1.6328","","0.04%"
"10/17/2025","1.6336","1.6426","1.6471","1.6334","","-0.55%"
"10/16/2025","1.6426","1.6356","1.6439","1.6342","","0.43%"
"10/15/2025","1.6356","1.6303","1.6362","1.6289","","0.33%"
"10/14/2025","1.6302","1.6240","1.6315","1.6219","","0.38%"
"10/13/2025","1.6240","1.6269","1.6277","1.6200","","-0.23%"
"10/10/2025","1.6277","1.6214","1.6290","1.6171","","0.39%"
"10/09/2025","1.6214","1.6223","1.6241","1.6180","","-0.05%"
"10/08/2025","1.6222","1.6260","1.6271","1.6188","","-0.24%"
"10/07/2025","1.6261","1.6327","1.6339","1.6252","","-0.40%"
"10/06/2025","1.6327","1.6391","1.6395","1.6260","","-0.34%"
"10/03/2025","1.6383","1.6366","1.6407","1.6359","","0.10%"
"10/02/2025","1.6366","1.6346","1.6397","1.6338","","0.13%"
"10/01/2025","1.6345","1.6334","1.6391","1.6325","","0.07%"
"09/30/2025","1.6334","1.6315","1.6375","1.6304","","0.10%"
"09/29/2025","1.6317","1.6316","1.6375","1.6299","","0.01%"
"09/26/2025","1.6315","1.6262","1.6322","1.6243","","0.31%"
"09/25/2025","1.6264","1.6313","1.6334","1.6241","","-0.30%"
"09/24/2025","1.6313","1.6346","1.6355","1.6280","","-0.21%"
"09/23/2025","1.6347","1.6310","1.6362","1.6292","","0.22%"
"09/22/2025","1.6311","1.6191","1.6322","1.6169","","0.77%"
"09/19/2025","1.6187","1.6262","1.6273","1.6168","","-0.46%"
"09/18/2025","1.6262","1.6270","1.6317","1.6222","","-0.06%"
"09/17/2025","1.6271","1.6306","1.6364","1.6261","","-0.21%"
"09/16/2025","1.6305","1.6202","1.6322","1.6196","","0.62%"
"09/15/2025","1.6205","1.6242","1.6279","1.6197","","-0.23%"
"09/12/2025","1.6242","1.6230","1.6257","1.6206","","0.07%"
"09/11/2025","1.6231","1.6212","1.6274","1.6195","","0.12%"
"09/10/2025","1.6212","1.6208","1.6248","1.6188","","0.03%"
"09/09/2025","1.6207","1.6238","1.6262","1.6204","","-0.20%"
"09/08/2025","1.6239","1.6202","1.6251","1.6178","","0.20%"
