"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","103.1990","102.2750","103.3900","102.2000","","0.90%"
"11/20/2025","102.2750","102.0925","102.4045","101.9380","","0.17%"
"11/19/2025","102.1015","102.5580","102.6465","101.9515","","-0.44%"
"11/18/2025","102.5520","102.7470","102.8785","102.4450","","-0.19%"
"11/17/2025","102.7425","103.0655","103.1050","102.6065","","-0.31%"
"11/14/2025","103.0655","103.3740","103.4305","102.9100","","-0.25%"
"11/13/2025","103.3205","102.7020","103.4720","102.6175","","0.60%"
"11/12/2025","102.7065","102.4620","102.7690","102.4415","","0.24%"
"11/11/2025","102.4620","102.5230","102.6675","102.3245","","-0.06%"
"11/10/2025","102.5230","102.5500","102.7400","102.3195","","-0.03%"
"11/07/2025","102.5500","102.3905","102.7885","102.2100","","0.15%"
"11/06/2025","102.3950","101.7700","102.4155","101.7520","","0.61%"
"11/05/2025","101.7740","101.8865","102.0285","101.6415","","-0.11%"
"11/04/2025","101.8865","102.2050","102.2410","101.7320","","-0.32%"
"11/03/2025","102.2095","102.3990","102.4810","102.0995","","-0.19%"
"10/31/2025","102.3990","102.5075","102.7770","102.2755","","-0.11%"
"10/30/2025","102.5075","102.5570","103.1860","102.4395","","-0.05%"
"10/29/2025","102.5615","102.8025","103.0630","102.3990","","-0.24%"
"10/28/2025","102.8055","102.7330","103.0830","102.6715","","0.07%"
"10/27/2025","102.7375","102.1180","102.8010","102.0480","","0.61%"
"10/24/2025","102.1180","101.9820","102.3090","101.7080","","0.13%"
"10/23/2025","101.9860","101.8750","102.0700","101.7375","","0.11%"
"10/22/2025","101.8705","102.1000","102.1695","101.5750","","-0.22%"
"10/21/2025","102.1000","102.3085","102.4810","102.0625","","-0.20%"
"10/20/2025","102.2995","102.6330","102.7165","102.2910","","-0.23%"
"10/17/2025","102.5365","102.8390","103.1385","102.5275","","-0.29%"
"10/16/2025","102.8390","102.2765","102.9325","102.2020","","0.55%"
"10/15/2025","102.2765","103.0445","103.1855","102.1700","","-0.75%"
"10/14/2025","103.0445","102.5900","103.1265","102.4480","","0.45%"
"10/13/2025","102.5810","103.1355","103.2485","102.4685","","-0.54%"
"10/10/2025","103.1355","102.7685","103.2440","102.4885","","0.36%"
"10/09/2025","102.7685","103.1750","103.4230","102.5750","","-0.42%"
"10/08/2025","103.2055","103.4170","103.4925","102.9825","","-0.23%"
"10/07/2025","103.4440","103.9145","103.9555","103.3720","","-0.43%"
"10/06/2025","103.8925","104.1970","104.1970","103.4415","","-0.29%"
"10/03/2025","104.1970","103.9400","104.3865","103.9020","","0.24%"
"10/02/2025","103.9445","104.0160","104.4135","103.7020","","-0.08%"
"10/01/2025","104.0250","104.2415","104.4615","103.8540","","-0.21%"
"09/30/2025","104.2460","104.0185","104.4920","103.8900","","0.22%"
"09/29/2025","104.0185","103.7700","104.2705","103.7520","","0.24%"
"09/26/2025","103.7700","103.5605","103.8185","103.4455","","0.20%"
"09/25/2025","103.5605","104.2110","104.3395","103.3905","","-0.62%"
"09/24/2025","104.2110","104.9265","104.9715","104.0855","","-0.69%"
"09/23/2025","104.9310","104.2200","104.9610","104.1285","","0.67%"
"09/22/2025","104.2285","103.4780","104.2410","103.3060","","0.73%"
"09/19/2025","103.4780","103.9730","104.0585","103.3995","","-0.48%"
"09/18/2025","103.9730","103.6490","104.4030","103.6005","","0.31%"
"09/17/2025","103.6530","104.2950","104.5550","103.6050","","-0.62%"
"09/16/2025","104.2950","103.6670","104.5165","103.5595","","0.63%"
"09/15/2025","103.6405","103.5845","103.7995","103.4160","","0.05%"
"09/12/2025","103.5845","103.5685","103.7345","103.3320","","0.02%"
"09/11/2025","103.5685","102.9785","103.7570","102.9525","","0.57%"
"09/10/2025","102.9785","103.3250","103.3870","102.9605","","-0.33%"
"09/09/2025","103.3205","103.4915","103.8010","103.2705","","-0.17%"
"09/08/2025","103.5000","103.3460","103.5180","103.1120","","0.15%"
"09/05/2025","103.3460","102.7315","103.6495","102.7095","","0.60%"
"09/04/2025","102.7315","102.7020","102.8120","102.4940","","0.02%"
"09/03/2025","102.7065","102.4300","102.8755","102.3005","","0.26%"
"09/02/2025","102.4385","103.0580","103.1320","102.3560","","-0.60%"
"09/01/2025","103.0580","103.0400","103.5805","102.8805","","0.02%"
"08/29/2025","103.0400","102.3285","103.2695","102.0820","","0.70%"
"08/28/2025","102.3285","102.0245","102.4535","101.8560","","0.30%"
"08/27/2025","102.0245","102.0330","102.0920","101.6235","","0.00%"
"08/26/2025","102.0240","101.7965","102.2295","101.7095","","0.23%"
"08/25/2025","101.7875","102.3210","102.5915","101.6450","","-0.52%"
"08/22/2025","102.3210","101.3125","102.4965","101.2260","","1.00%"
"08/21/2025","101.3085","101.4020","101.7420","101.1100","","-0.08%"
"08/20/2025","101.3890","101.4060","101.6275","101.1910","","-0.03%"
"08/19/2025","101.4145","101.8130","101.9615","101.3565","","-0.39%"
"08/18/2025","101.8090","102.3380","102.5520","101.7790","","-0.55%"
"08/15/2025","102.3725","102.1510","102.5235","102.0770","","0.23%"
"08/14/2025","102.1425","102.3645","102.4880","101.9530","","-0.22%"
"08/13/2025","102.3690","102.2755","102.6990","102.2065","","0.10%"
"08/12/2025","102.2670","101.8215","102.4835","101.7155","","0.44%"
"08/11/2025","101.8215","101.8495","102.2490","101.5965","","-0.01%"
"08/08/2025","101.8365","102.0095","102.3240","101.8015","","-0.17%"
"08/07/2025","102.0095","102.2830","102.6205","101.5290","","-0.27%"
"08/06/2025","102.2830","101.6450","102.3660","101.4045","","0.61%"
