"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","117.412","115.977","117.519","115.836","","1.24%"
"11/20/2025","115.977","115.566","116.356","115.423","","0.36%"
"11/19/2025","115.566","116.411","116.510","115.401","","-0.73%"
"11/18/2025","116.411","116.614","116.796","116.298","","-0.17%"
"11/17/2025","116.605","116.578","116.900","116.408","","-0.19%"
"11/14/2025","116.826","117.163","117.270","116.322","","-0.29%"
"11/13/2025","117.163","116.288","117.342","116.180","","0.70%"
"11/12/2025","116.345","116.338","116.602","115.921","","0.01%"
"11/11/2025","116.338","116.871","116.925","116.169","","-0.45%"
"11/10/2025","116.863","116.661","117.004","116.462","","0.15%"
"11/07/2025","116.692","116.489","116.857","116.080","","0.17%"
"11/06/2025","116.489","115.545","116.541","115.518","","0.80%"
"11/05/2025","115.567","115.547","115.755","115.328","","0.02%"
"11/04/2025","115.547","116.613","116.658","115.432","","-0.88%"
"11/03/2025","116.578","116.642","116.779","116.328","","-0.17%"
"10/31/2025","116.775","116.583","116.793","116.232","","0.16%"
"10/30/2025","116.583","116.649","117.147","116.355","","-0.05%"
"10/29/2025","116.645","117.100","117.193","116.200","","-0.39%"
"10/28/2025","117.100","117.661","118.084","116.953","","-0.48%"
"10/27/2025","117.661","116.936","117.840","116.874","","0.62%"
"10/24/2025","116.936","116.983","117.338","116.703","","-0.04%"
"10/23/2025","116.983","117.182","117.503","116.854","","-0.18%"
"10/22/2025","117.190","117.693","117.795","116.768","","-0.43%"
"10/21/2025","117.693","117.801","117.980","117.563","","-0.09%"
"10/20/2025","117.797","118.153","118.278","117.721","","-0.30%"
"10/17/2025","118.148","118.237","118.476","117.846","","-0.05%"
"10/16/2025","118.202","117.692","118.394","117.590","","0.44%"
"10/15/2025","117.688","118.298","118.551","117.388","","-0.47%"
"10/14/2025","118.249","118.213","118.567","117.644","","0.03%"
"10/13/2025","118.213","118.575","118.713","117.995","","-0.31%"
"10/10/2025","118.575","118.236","118.600","117.607","","0.29%"
"10/09/2025","118.236","118.978","119.149","118.009","","-0.63%"
"10/08/2025","118.987","119.133","119.296","118.713","","-0.12%"
"10/07/2025","119.133","119.645","119.686","118.863","","-0.42%"
"10/06/2025","119.641","119.185","119.702","119.096","","0.03%"
"10/03/2025","119.610","119.165","119.727","119.111","","0.31%"
"10/02/2025","119.235","119.523","119.926","118.942","","-0.24%"
"10/01/2025","119.523","119.505","119.964","119.262","","0.06%"
"09/30/2025","119.451","119.103","119.654","119.032","","0.29%"
"09/29/2025","119.103","118.814","119.391","118.770","","0.20%"
"09/26/2025","118.867","118.460","118.951","118.314","","0.35%"
"09/25/2025","118.456","119.383","119.536","118.282","","-0.77%"
"09/24/2025","119.379","120.122","120.206","119.173","","-0.62%"
"09/23/2025","120.122","119.324","120.148","119.229","","0.67%"
"09/22/2025","119.324","118.768","119.414","118.548","","0.55%"
"09/19/2025","118.671","119.563","119.691","118.611","","-0.75%"
"09/18/2025","119.563","119.566","120.381","119.335","","0.00%"
"09/17/2025","119.561","119.934","120.419","119.491","","-0.31%"
