"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","1.7447","1.7751","1.7766","1.7412","","-1.71%"
"11/20/2025","1.7751","1.7760","1.7809","1.7710","","-0.05%"
"11/19/2025","1.7760","1.7561","1.7767","1.7527","","1.13%"
"11/18/2025","1.7562","1.7516","1.7594","1.7462","","0.26%"
"11/17/2025","1.7517","1.7410","1.7530","1.7410","","0.52%"
"11/14/2025","1.7426","1.7401","1.7449","1.7314","","0.13%"
"11/13/2025","1.7403","1.7476","1.7492","1.7370","","-0.40%"
"11/12/2025","1.7473","1.7425","1.7499","1.7403","","0.27%"
"11/11/2025","1.7426","1.7377","1.7437","1.7363","","0.28%"
"11/10/2025","1.7377","1.7292","1.7392","1.7292","","0.42%"
"11/07/2025","1.7304","1.7262","1.7320","1.7234","","0.24%"
"11/06/2025","1.7262","1.7405","1.7407","1.7235","","-0.82%"
"11/05/2025","1.7404","1.7319","1.7419","1.7238","","0.49%"
"11/04/2025","1.7319","1.7383","1.7451","1.7279","","-0.36%"
"11/03/2025","1.7382","1.7361","1.7390","1.7342","","0.19%"
"10/31/2025","1.7349","1.7390","1.7400","1.7335","","-0.23%"
"10/30/2025","1.7389","1.7276","1.7416","1.7223","","0.65%"
"10/29/2025","1.7276","1.7240","1.7310","1.7176","","0.21%"
"10/28/2025","1.7239","1.7328","1.7330","1.7185","","-0.51%"
"10/27/2025","1.7328","1.7425","1.7441","1.7292","","-0.44%"
"10/24/2025","1.7404","1.7382","1.7452","1.7344","","0.13%"
"10/23/2025","1.7381","1.7321","1.7405","1.7303","","0.33%"
"10/22/2025","1.7323","1.7261","1.7335","1.7215","","0.35%"
"10/21/2025","1.7262","1.7155","1.7297","1.7118","","0.62%"
"10/20/2025","1.7155","1.7101","1.7183","1.7085","","0.22%"
"10/17/2025","1.7117","1.7094","1.7119","1.6989","","0.12%"
"10/16/2025","1.7096","1.7202","1.7241","1.7062","","-0.62%"
"10/15/2025","1.7203","1.7103","1.7227","1.7014","","0.58%"
"10/14/2025","1.7103","1.7175","1.7214","1.7073","","-0.43%"
"10/13/2025","1.7176","1.7103","1.7200","1.7089","","0.84%"
"10/10/2025","1.7033","1.7226","1.7272","1.7031","","-1.11%"
"10/09/2025","1.7225","1.7202","1.7260","1.7147","","0.13%"
"10/08/2025","1.7203","1.7119","1.7236","1.7100","","0.50%"
"10/07/2025","1.7118","1.6945","1.7133","1.6932","","1.01%"
"10/06/2025","1.6947","1.6818","1.6954","1.6797","","1.97%"
"10/03/2025","1.6619","1.6599","1.6665","1.6577","","0.13%"
"10/02/2025","1.6598","1.6583","1.6619","1.6520","","0.09%"
"10/01/2025","1.6583","1.6650","1.6692","1.6529","","-0.40%"
"09/30/2025","1.6650","1.6752","1.6781","1.6620","","-0.61%"
"09/29/2025","1.6752","1.6857","1.6864","1.6728","","-0.64%"
"09/26/2025","1.6860","1.6881","1.6905","1.6849","","-0.09%"
"09/25/2025","1.6875","1.6773","1.6894","1.6732","","0.61%"
"09/24/2025","1.6772","1.6626","1.6776","1.6608","","0.88%"
"09/23/2025","1.6626","1.6729","1.6741","1.6609","","-0.62%"
"09/22/2025","1.6729","1.6796","1.6843","1.6723","","-0.39%"
"09/19/2025","1.6795","1.6779","1.6817","1.6678","","0.10%"
"09/18/2025","1.6779","1.6748","1.6798","1.6687","","0.16%"
"09/17/2025","1.6752","1.6669","1.6760","1.6585","","0.50%"
"09/16/2025","1.6669","1.6728","1.6750","1.6626","","-0.35%"
"09/15/2025","1.6727","1.6739","1.6743","1.6693","","-0.01%"
"09/12/2025","1.6728","1.6678","1.6766","1.6667","","0.31%"
"09/11/2025","1.6677","1.6747","1.6751","1.6642","","-0.42%"
"09/10/2025","1.6747","1.6705","1.6755","1.6692","","0.25%"
"09/09/2025","1.6705","1.6768","1.6773","1.6597","","-0.38%"
"09/08/2025","1.6768","1.6829","1.6849","1.6746","","0.32%"
"09/05/2025","1.6715","1.6837","1.6845","1.6661","","-0.72%"
"09/04/2025","1.6837","1.6816","1.6874","1.6781","","0.12%"
"09/03/2025","1.6816","1.6860","1.6922","1.6789","","-0.26%"
"09/02/2025","1.6860","1.6725","1.6894","1.6709","","0.81%"
"09/01/2025","1.6725","1.6681","1.6748","1.6627","","0.29%"
"08/29/2025","1.6677","1.6775","1.6797","1.6643","","-0.58%"
"08/28/2025","1.6775","1.6817","1.6830","1.6746","","-0.24%"
"08/27/2025","1.6816","1.6822","1.6884","1.6803","","-0.03%"
"08/26/2025","1.6821","1.6870","1.6881","1.6778","","-0.28%"
"08/25/2025","1.6869","1.6824","1.6894","1.6804","","0.25%"
"08/22/2025","1.6827","1.6998","1.7032","1.6792","","-1.01%"
"08/21/2025","1.6998","1.6933","1.7006","1.6907","","0.40%"
"08/20/2025","1.6931","1.6961","1.6975","1.6876","","-0.18%"
"08/19/2025","1.6961","1.6937","1.7002","1.6896","","0.14%"
"08/18/2025","1.6937","1.6815","1.6946","1.6802","","0.70%"
"08/15/2025","1.6820","1.6850","1.6867","1.6772","","-0.18%"
"08/14/2025","1.6851","1.6853","1.6879","1.6709","","-0.02%"
"08/13/2025","1.6854","1.6869","1.6919","1.6812","","-0.12%"
"08/12/2025","1.6875","1.6900","1.6945","1.6845","","-0.15%"
"08/11/2025","1.6900","1.6872","1.6914","1.6812","","0.09%"
"08/08/2025","1.6885","1.6827","1.6900","1.6779","","0.36%"
"08/07/2025","1.6825","1.6799","1.6879","1.6718","","0.15%"
"08/06/2025","1.6799","1.6803","1.6872","1.6753","","-0.05%"
"08/05/2025","1.6807","1.6785","1.6834","1.6722","","0.18%"
"08/04/2025","1.6776","1.6889","1.6958","1.6755","","-0.69%"
"08/01/2025","1.6892","1.7224","1.7271","1.6882","","-1.93%"
"07/31/2025","1.7225","1.7048","1.7235","1.6951","","1.03%"
"07/30/2025","1.7049","1.7043","1.7054","1.6905","","0.04%"
"07/29/2025","1.7043","1.7132","1.7155","1.7028","","-0.54%"
"07/28/2025","1.7135","1.7090","1.7147","1.7053","","0.37%"
"07/25/2025","1.7072","1.7018","1.7104","1.6969","","0.32%"
"07/24/2025","1.7018","1.6957","1.7022","1.6890","","0.34%"
"07/23/2025","1.6961","1.6988","1.7052","1.6907","","-0.15%"
"07/22/2025","1.6987","1.7093","1.7152","1.6943","","-0.66%"
"07/21/2025","1.7099","1.7188","1.7258","1.7057","","-1.02%"
"07/18/2025","1.7276","1.7274","1.7289","1.7211","","0.01%"
"07/17/2025","1.7274","1.7216","1.7324","1.7200","","0.33%"
"07/16/2025","1.7218","1.7317","1.7366","1.7104","","-0.55%"
"07/15/2025","1.7313","1.7174","1.7332","1.7153","","0.82%"
"07/14/2025","1.7173","1.7160","1.7196","1.7107","","-0.02%"
"07/11/2025","1.7176","1.7058","1.7185","1.7044","","0.70%"
"07/10/2025","1.7057","1.7078","1.7126","1.7006","","-0.12%"
"07/09/2025","1.7078","1.7091","1.7154","1.7064","","-0.08%"
"07/08/2025","1.7091","1.7030","1.7140","1.7005","","0.34%"
"07/07/2025","1.7033","1.6895","1.7054","1.6868","","0.73%"
"07/04/2025","1.6909","1.6964","1.6970","1.6881","","-0.32%"
"07/03/2025","1.6964","1.6781","1.6999","1.6752","","1.09%"
"07/02/2025","1.6781","1.6751","1.6835","1.6737","","0.18%"
"07/01/2025","1.6751","1.6807","1.6818","1.6676","","-0.33%"
"06/30/2025","1.6807","1.6909","1.6941","1.6798","","-0.72%"
"06/27/2025","1.6929","1.6863","1.6954","1.6843","","0.40%"
"06/26/2025","1.6861","1.6878","1.6891","1.6770","","-0.13%"
"06/25/2025","1.6883","1.6865","1.6949","1.6826","","0.11%"
"06/24/2025","1.6864","1.6880","1.6906","1.6795","","-0.11%"
"06/23/2025","1.6882","1.6862","1.7060","1.6852","","0.05%"
"06/20/2025","1.6874","1.6751","1.6885","1.6711","","0.73%"
"06/19/2025","1.6751","1.6794","1.6805","1.6719","","-0.23%"
"06/18/2025","1.6790","1.6831","1.6856","1.6700","","-0.24%"
"06/17/2025","1.6831","1.6860","1.6904","1.6746","","-0.17%"
"06/16/2025","1.6860","1.6719","1.6878","1.6709","","0.75%"
"06/13/2025","1.6734","1.6765","1.6776","1.6594","","-0.20%"
"06/12/2025","1.6768","1.6913","1.6917","1.6740","","-0.86%"
"06/11/2025","1.6914","1.6923","1.7010","1.6886","","-0.05%"
"06/10/2025","1.6923","1.6879","1.6968","1.6856","","0.26%"
"06/09/2025","1.6879","1.6891","1.6904","1.6803","","-0.05%"
"06/06/2025","1.6888","1.6735","1.6918","1.6706","","0.98%"
"06/05/2025","1.6724","1.6625","1.6776","1.6598","","0.60%"
"06/04/2025","1.6625","1.6798","1.6840","1.6605","","-1.06%"
"06/03/2025","1.6803","1.6721","1.6815","1.6676","","0.49%"
"06/02/2025","1.6721","1.6851","1.6853","1.6691","","-0.74%"
"05/30/2025","1.6845","1.6882","1.6891","1.6762","","-0.21%"
"05/29/2025","1.6880","1.6957","1.7128","1.6853","","-0.46%"
"05/28/2025","1.6958","1.6914","1.6987","1.6831","","0.25%"
"05/27/2025","1.6915","1.6789","1.6933","1.6689","","0.75%"
"05/26/2025","1.6789","1.6723","1.6836","1.6693","","0.33%"
"05/23/2025","1.6733","1.6747","1.6831","1.6670","","-0.08%"
"05/22/2025","1.6747","1.6785","1.6870","1.6617","","-0.23%"
"05/21/2025","1.6785","1.6897","1.6904","1.6738","","-0.65%"
"05/20/2025","1.6894","1.6965","1.7040","1.6845","","-0.42%"
"05/19/2025","1.6965","1.7003","1.7018","1.6934","","-0.40%"
"05/16/2025","1.7033","1.7029","1.7089","1.6932","","0.02%"
"05/15/2025","1.7029","1.7183","1.7186","1.6997","","-0.91%"
"05/14/2025","1.7186","1.7295","1.7324","1.7065","","-0.63%"
"05/13/2025","1.7295","1.7490","1.7494","1.7282","","-1.11%"
"05/12/2025","1.7490","1.7074","1.7513","1.7060","","2.76%"
"05/09/2025","1.7020","1.7060","1.7091","1.6937","","-0.23%"
"05/08/2025","1.7060","1.6977","1.7091","1.6880","","0.49%"
"05/07/2025","1.6976","1.6895","1.7000","1.6869","","0.48%"
"05/06/2025","1.6895","1.7049","1.7116","1.6885","","-0.90%"
"05/05/2025","1.7049","1.7122","1.7155","1.7028","","-0.59%"
"05/02/2025","1.7150","1.7193","1.7344","1.7029","","-0.25%"
"05/01/2025","1.7193","1.6913","1.7230","1.6889","","1.66%"
"04/30/2025","1.6912","1.6718","1.6946","1.6688","","1.16%"
"04/29/2025","1.6718","1.6676","1.6769","1.6667","","0.25%"
"04/28/2025","1.6676","1.6829","1.6903","1.6672","","-0.91%"
"04/25/2025","1.6829","1.6721","1.6896","1.6706","","0.68%"
"04/24/2025","1.6716","1.6804","1.6806","1.6666","","-0.55%"
"04/23/2025","1.6808","1.6620","1.6823","1.6557","","1.11%"
"04/22/2025","1.6623","1.6536","1.6633","1.6436","","0.54%"
"04/21/2025","1.6534","1.6638","1.6639","1.6470","","-0.58%"
"04/18/2025","1.6631","1.6682","1.6689","1.6630","","-0.27%"
"04/17/2025","1.6676","1.6574","1.6739","1.6541","","0.70%"
"04/16/2025","1.6560","1.6714","1.6722","1.6544","","-0.87%"
"04/15/2025","1.6706","1.6618","1.6732","1.6608","","0.57%"
"04/14/2025","1.6611","1.6738","1.6744","1.6502","","-0.22%"
"04/11/2025","1.6647","1.6757","1.6778","1.6502","","-0.65%"
"04/10/2025","1.6756","1.7028","1.7060","1.6707","","-1.69%"
"04/09/2025","1.7044","1.6960","1.7112","1.6616","","0.51%"
"04/08/2025","1.6958","1.7215","1.7248","1.6923","","-1.46%"
"04/07/2025","1.7209","1.7010","1.7251","1.6909","","0.23%"
"04/04/2025","1.7170","1.7130","1.7239","1.6939","","0.27%"
"04/03/2025","1.7123","1.7464","1.7467","1.7011","","-1.92%"
"04/02/2025","1.7459","1.7479","1.7609","1.7443","","-0.12%"
"04/01/2025","1.7480","1.7548","1.7571","1.7401","","-0.36%"
"03/31/2025","1.7544","1.7512","1.7585","1.7386","","0.18%"
"03/28/2025","1.7513","1.7635","1.7652","1.7503","","-0.69%"
"03/27/2025","1.7634","1.7584","1.7652","1.7474","","0.34%"
"03/26/2025","1.7575","1.7511","1.7607","1.7496","","0.41%"
"03/25/2025","1.7504","1.7612","1.7646","1.7469","","-0.59%"
"03/24/2025","1.7608","1.7370","1.7619","1.7369","","1.42%"
"03/21/2025","1.7362","1.7231","1.7393","1.7210","","0.75%"
"03/20/2025","1.7232","1.7230","1.7260","1.7161","","0.06%"
"03/19/2025","1.7222","1.7253","1.7396","1.7216","","-0.16%"
"03/18/2025","1.7250","1.7212","1.7321","1.7200","","0.24%"
"03/17/2025","1.7208","1.7119","1.7221","1.7074","","0.68%"
"03/14/2025","1.7092","1.7006","1.7146","1.6998","","0.55%"
"03/13/2025","1.6999","1.7010","1.7045","1.6946","","-0.05%"
"03/12/2025","1.7007","1.6947","1.7111","1.6940","","0.40%"
"03/11/2025","1.6940","1.6870","1.6995","1.6776","","0.44%"
"03/10/2025","1.6866","1.6978","1.6988","1.6793","","-0.74%"
"03/07/2025","1.6992","1.7002","1.7024","1.6870","","-0.02%"
"03/06/2025","1.6996","1.7135","1.7185","1.6920","","-0.79%"
"03/05/2025","1.7132","1.7163","1.7222","1.7068","","-0.15%"
