Date,Price,Open,High,Low,Vol.,Change %
11/21/2025,0.011155609598286497,0.011274974067559645,0.011144047963982438,0.011286426942958398,,1.04%
11/20/2025,0.011272050949670293,0.011301095076112875,0.011265955409348489,0.011301605958206661,,0.25%
11/19/2025,0.011300456538444153,0.011292162110279254,0.011283752524739626,0.011310170104958378,,-0.07%
11/18/2025,0.011292799710904326,0.011285407967498025,0.011274338478189792,0.011300073450477427,,-0.09%
11/17/2025,0.011282097567579766,0.01127332168423426,0.011267859557398476,0.011291907090188463,,-0.06%
11/14/2025,0.011275355455580739,0.011264178785045676,0.011260246824610395,0.011282097567579766,,-0.14%
11/13/2025,0.01125910580181722,0.011287955751213455,0.011257331337033242,0.01128897518683254,,0.26%
11/12/2025,0.011287955751213455,0.011299307352459294,0.011278661899552237,0.011299562706923243,,0.14%
11/11/2025,0.011303649948568393,0.011273067514401344,0.011270653472488335,0.011309530541387227,,-0.27%
11/10/2025,0.011273067514401344,0.011280315848843767,0.011268113492439096,0.011283752524739626,,0.05%
11/07/2025,0.011278407488862573,0.011283497884344146,0.011270018370129944,0.011287955751213455,,-0.01%
11/06/2025,0.011277389960867457,0.011282606733459698,0.011274846943952737,0.01130467222102895,,0.13%
11/05/2025,0.011292162110279254,0.011272686281140797,0.01126455944308018,0.011293692472753967,,-0.20%
11/04/2025,0.011269891358247306,0.011271161605915106,0.01126392502731502,0.011320925598876964,,0.01%
11/03/2025,0.011270907533474595,0.011271161605915106,0.011260500416638515,0.011274338478189792,,-0.05%
10/31/2025,0.01126519393031351,0.011281970283290274,0.01125948611705362,0.011291014610572905,,0.15%
10/30/2025,0.011282606733459698,0.01132323300948887,0.01126570157156537,0.01132400235539249,,0.25%
10/29/2025,0.01131119355714415,0.011333756460241182,0.011300328839569232,0.011345457845951373,,0.20%
10/28/2025,0.011333499557993518,0.011334912664497921,0.011309274736211166,0.011343012704174229,,0.01%
10/27/2025,0.011334655709832815,0.0113913380265646,0.011323617669373011,0.011391467790624823,,0.44%
10/24/2025,0.011384853590782822,0.01139250600954692,0.011377988144136354,0.011411617026132604,,0.06%
10/23/2025,0.011392246437074927,0.01140042865611747,0.011368287026510845,0.01140042865611747,,0.04%
10/22/2025,0.011397310234784592,0.011363248980148405,0.011363248980148405,0.011413961557777474,,-0.32%
10/21/2025,0.011360925233751037,0.01137915339098771,0.011351768605548745,0.01137915339098771,,0.17%
10/20/2025,0.011379800853485065,0.011369321024148437,0.011362086988137982,0.011397570038067883,,-0.15%
10/17/2025,0.011363248980148405,0.011371518893778644,0.011348290380054245,0.01140042865611747,,0.01%
10/16/2025,0.011364798672591514,0.011395491943387195,0.011356151627336527,0.011414091837782926,,0.21%
10/15/2025,0.011388224575788634,0.011270272402483968,0.01126138807869458,0.011388354268924598,,-1.09%
10/14/2025,0.011263544412155617,0.011276118309033297,0.011257838269895414,0.011283243255441345,,0.13%
10/13/2025,0.011278407488862573,0.011270653472488335,0.011261514898984212,0.01129126959035274,,-0.10%
10/10/2025,0.011266716991335895,0.01125910580181722,0.01125796501024475,0.011300201143580355,,-0.12%
10/09/2025,0.011252897621137443,0.011264051904751176,0.011251504888778874,0.011274719823212393,,0.12%
10/08/2025,0.011266336187471833,0.011266463119232979,0.01125821849950464,0.011270780501549733,,0.02%
10/07/2025,0.011269002355221491,0.011271288646430946,0.011263163822717802,0.011275101194033216,,0.02%
10/06/2025,0.011271288646430946,0.011265955409348489,0.011256317608257635,0.01127459270533852,,-0.02%
10/03/2025,0.011269510339775737,0.011267732594170075,0.01125923257070798,0.011278534692772714,,0.02%
10/02/2025,0.01127141568981064,0.01127789870191386,0.011250745361880225,0.011288592876897895,,0.04%
10/01/2025,0.011276118309033297,0.01126303696528732,0.011254164040695057,0.011285153252381167,,-0.18%
09/30/2025,0.011256064204590223,0.011269129347066646,0.011251504888778874,0.011277389960867457,,0.15%
09/29/2025,0.011273448773448774,0.011278916321719809,0.011261007634963176,0.011283625203105255,,0.03%
09/26/2025,0.011276881265717152,0.01126455944308018,0.011262275880709974,0.011281843001872785,,-0.10%
09/25/2025,0.011265320836337418,0.011269891358247306,0.011258979035781035,0.011286809106197587,,-0.01%
09/24/2025,0.011264178785045676,0.011262529564140105,0.011243661385893703,0.011277389960867457,,-0.03%
09/23/2025,0.011260246824610395,0.0113245153107447,0.011258598754798978,0.011330674401740392,,0.57%
09/22/2025,0.011324643556844049,0.01134031140495118,0.011319131596223938,0.011348676744291616,,0.23%
09/19/2025,0.011350737797956869,0.0113369687213033,0.011319515977496801,0.011356925453141325,,-0.12%
09/18/2025,0.011337097249620207,0.011377729232799717,0.011326182736632273,0.01138511282646811,,0.53%
09/17/2025,0.01139666077839193,0.011379282877593053,0.011375270162666365,0.011407451347220003,,-0.16%
09/16/2025,0.011378764948852453,0.011354733220542984,0.011343012704174229,0.011379412367145361,,-0.27%
09/15/2025,0.01134790404212342,0.011327722334870128,0.011324771805848111,0.011348805538217103,,-0.18%
